city,district,voivodeship,localization_y,localization_x,area,sewers,shape,road,fence,water,electricity,gas,price
Józefów,otwocki,mazowieckie,52.141221,21.228355,1519,,,utwardzana,brak,,,,455000
Wolin,kamieñski,zachodniopomorskie,53.83944270057968,14.610129157878106,1000,miejska,,asfaltowa,inne,,,,99000
Podkowa Leœna,grodziski,mazowieckie,52.118075,20.729874,2484,,,asfaltowa,brak,,,,690000
Warszawa,Wilanów,mazowieckie,52.17416667,21.08027778,5566,,,utwardzana,brak,,,,2000000
Wroc³aw,Leœnica,dolnoœl¹skie,51.1521845,16.852105,1250,,,,brak,,,,312500
Warszawa,Kêpa Zawadowska,mazowieckie,52.1405,21.1474,1600,miejska,,asfaltowa,siatka,,,,985000
Otwock,otwocki,mazowieckie,52.118,21.2385,3466,miejska,,,brak,,,,1300000
Myszczyn,warszawski zachodni,mazowieckie,52.241783,20.693175,1000,brak,,utwardzana,brak,,,,200000
Leszno,warszawski zachodni,mazowieckie,52.265339,20.60887,1500,,,,,,,,253000
Julianów,piaseczyñski,mazowieckie,52.1002,21.0487,5908,miejska,,asfaltowa,metalowe,,,,3600000
£aziec,czêstochowski,œl¹skie,50.723357,19.048147,1191,,,asfaltowa,siatka,,,,61425
Leszno,warszawski zachodni,mazowieckie,52.265339,20.60887,3900,szambo,,utwardzana,brak,,,,599000
Wyglêdy,warszawski zachodni,mazowieckie,52.258432,20.70509,1008,brak,,utwardzana,brak,,,,161280
Izabelin C,warszawski zachodni,mazowieckie,52.2966,20.8193,1344,brak,,asfaltowa,siatka,,,,1010000
Micha³owice-Wieœ,pruszkowski,mazowieckie,52.1602,20.894,3950,miejska,,,brak,,,,1500000
Warszawa,M³ociny,mazowieckie,52.3128,20.9204,1469,miejska,,asfaltowa,inne,,,,3100000
Warszawa,W³ochy,mazowieckie,52.1799,20.9478,1350,,,asfaltowa,inne,,,brak,1800000
Warszawa,Okêcie,mazowieckie,52.1833,20.95,1014,miejska,,utwardzana,siatka,,,,870000
Pruszków,pruszkowski,mazowieckie,52.1857,20.7914,1232,szambo,,utwardzana,brak,,,,390000
Duchnów,otwocki,mazowieckie,52.1918,21.3597,5028,miejska,,utwardzana,brak,,,,1659000
Warszawa,Radiowo,mazowieckie,52.2837,20.8975,1126,,,utwardzana,brak,,,,600000
Warszawa,Augustówka,mazowieckie,52.1905,21.0818,14979,,,asfaltowa,brak,,,,11984000
Warszawa,Opacz Wielka,mazowieckie,52.1773,20.9246,715,,,asfaltowa,siatka,,,,672000
Warszawa,Opacz Wielka,mazowieckie,52.1773,20.9246,1665,miejska,,asfaltowa,siatka,,,,1700000
Œlepowrony,p³oñski,mazowieckie,52.623,20.5002,2500,,,utwardzana,brak,,,,47400
Warszawa,Szczêœliwice,mazowieckie,52.2075,20.9637,5200,,,asfaltowa,brak,,,,14560000
Wola Krakowiañska,pruszkowski,mazowieckie,52.0312,20.8052,1500,szambo,,asfaltowa,brak,,,,150000
Kamieñ Pomorski,kamieñski,zachodniopomorskie,53.970455,14.775268,1100,szambo,,,siatka,w³asne ujêcie/studnia,,,44000
Duchnów,otwocki,mazowieckie,52.5373,21.0768,1480,,,utwardzana,siatka,,,,257000
K¹ck,otwocki,mazowieckie,52.1801,21.3767,1200,szambo,,asfaltowa,,,,,164000
K¹ck,otwocki,mazowieckie,52.1801,21.3767,,,,,,,,,795000
Karczew,otwocki,mazowieckie,52.0758,21.2501,1600,,,utwardzana,,,,,97000
Ca³owanie,otwocki,mazowieckie,52.0047,21.3194,1600,,,utwardzana,,,,,97000
Halinów,miñski,mazowieckie,52.2283,21.3551,800,miejska,,asfaltowa,inne,,,,280000
Poronin,tatrzañski,ma³opolskie,49.3314,20.0249,600,miejska,,utwardzana,brak,,,brak,200000
Duchnice,warszawski zachodni,mazowieckie,52.198437,20.799674,3150,,,utwardzana,brak,,,,750000
Nowa Wieœ,pruszkowski,mazowieckie,52.14007,20.796422,1000,,,utwardzana,,,,,320000
Rozalin,pruszkowski,mazowieckie,52.0486,20.7452,1230,,,utwardzana,,,,,226000
O¿arów Mazowiecki,warszawski zachodni,mazowieckie,52.209808,20.80271,917,,,utwardzana,,,,,470000
Kraków,Bronowice Ma³e,ma³opolskie,50.0879658,19.87260246,795,,,utwardzana,,,,,445200
Otrêbusy,pruszkowski,mazowieckie,52.1284,20.7607,1765,,,asfaltowa,,,,,499000
Pi³awa,wroc³awski,dolnoœl¹skie,50.9849942,16.7351169,1147,brak,,,brak,,,,99000
Krzywaczka,myœlenicki,ma³opolskie,49.8932,19.8313,2300,,,,,,,,285000
Karniowice,krakowski,ma³opolskie,50.1498,19.7797,11625,,,,,,,,1010000
Jelonek,poznañski,wielkopolskie,52.487,16.8577,812,miejska,,,brak,,,,559306
¯ó³win,pruszkowski,mazowieckie,52.1069,20.7347,2105,,,asfaltowa,siatka,,,,489000
Pielgrzymowice,krakowski,ma³opolskie,50.14731638,20.04249573,1000,,,,brak,,,,135000
P³ochocin,warszawski zachodni,mazowieckie,52.1999,20.7211,1000,,,asfaltowa,siatka,,,,230000
Gniechowice,wroc³awski,dolnoœl¹skie,50.9873014,16.8337979,1000,brak,,,,,,brak,89000
Karniowice,krakowski,ma³opolskie,50.1498,19.7797,5396,brak,,,,,,,510000
Nadolice Wielkie,wroc³awski,dolnoœl¹skie,51.0862647781496,17.240787855914,1923,miejska,,asfaltowa,inne,,,,450000
Warszawa,Czerniaków,mazowieckie,52.20472222,21.05055556,865,,,,,,,,1600000
Puszczykowo,poznañski,wielkopolskie,52.277269,16.857128,1880,miejska,,,siatka,,,,499000
Czarne Pi¹tkowo,œredzki,wielkopolskie,52.194499,17.403329,19500,brak,,,brak,,,brak,1075000
£omianki,warszawski zachodni,mazowieckie,52.3426607243894,20.8688573024491,2107,,,,,,,,1199000
Warszawa,Wólka Wêglowa,mazowieckie,52.2994985457393,20.8812413941296,1771,,,asfaltowa,siatka,,,,1240000
Kraków,Dêbniki,ma³opolskie,49.9988465322898,19.8708580753294,1715,,,utwardzana,brak,,,,449000
Burkatów,œwidnicki,dolnoœl¹skie,50.794305,16.467962,963,,,,brak,,,brak,67410
Warszawa,Kabaty,mazowieckie,52.1313717447013,21.0786498420141,1765,,,asfaltowa,brak,,,,3400000
Czosnów,nowodworski,mazowieckie,52.389482,20.73319,1000,,,,,,,,149500
Marki,wo³omiñski,mazowieckie,52.321295,21.10589,1000,miejska,,asfaltowa,siatka,,,,570000
Pruszków,pruszkowski,mazowieckie,52.159092,20.817155,2140,,,asfaltowa,,,,,895005
Warszawa,Powsin,mazowieckie,52.1292066232962,21.1037140908051,9919,,,asfaltowa,brak,,,,11407000
£ódŸ,£agiewniki,³ódzkie,51.8113338218467,19.5200877007896,1800,brak,,,brak,,,,234000
Królewo,p³oñski,mazowieckie,52.634556,20.563558,3600,,,utwardzana,brak,,,,180000
Grzebienisko,szamotulski,wielkopolskie,52.431876,16.531184,1283,miejska,,asfaltowa,brak,,,,120000
Kanie,pruszkowski,mazowieckie,52.13696840719,20.7760025466705,1498,,,utwardzana,brak,,,,579000
Ciechanów,ciechanowski,mazowieckie,52.7778,20.4151,1080,szambo,,utwardzana,brak,w³asne ujêcie/studnia,,brak,30000
B³onie,warszawski zachodni,mazowieckie,52.2042410954325,20.617786070059,611,,,utwardzana,drewniane,,,,850000
Raszyn,pruszkowski,mazowieckie,52.1619849960533,20.9325866338073,1135,,,,,,,,612900
Warszawa,Wilanów,mazowieckie,52.1739249560689,21.0786114091207,1001,,,asfaltowa,inne,,,,2450000
Wroc³aw,Ksiê¿e Wielkie,dolnoœl¹skie,51.07416667,17.09055556,1000,,,,brak,,,,269000
Lipowo,otwocki,mazowieckie,52.1376,21.399,4500,szambo,,utwardzana,,,,,420000
Milanówek,grodziski,mazowieckie,52.124582,20.667208,2071,brak,,,brak,,,,359000
Wroc³aw,Brochów,dolnoœl¹skie,51.06138889,17.07972222,940,miejska,,utwardzana,brak,,,,408900
Wroc³aw,Brochów,dolnoœl¹skie,51.06138889,17.07972222,940,miejska,,utwardzana,brak,,,,408900
Kanie,pruszkowski,mazowieckie,52.127794,20.781897,2076,miejska,,,brak,,,,560520
Konstancin-Jeziorna,piaseczyñski,mazowieckie,52.092927,21.119394,1000,,,utwardzana,,,,,310000
Wroc³aw,Psie Pole,dolnoœl¹skie,51.14722222,17.11555556,1000,,,,brak,,,,70000
Siemianice,trzebnicki,dolnoœl¹skie,51.319847,16.910434,1512,,,,,,,,151000
G³êboka,krakowski,ma³opolskie,50.133098,20.15047,1427,,,asfaltowa,,,,,130000
G³êboka,krakowski,ma³opolskie,50.133098,20.15047,1425,,,asfaltowa,,,,,130000
Lublin,lubelskie,,51.246181,22.561284,1594,,,,,,,,420000
Siedlce,mazowieckie,,52.167718,22.283249,1362,,,,,,,,340000
Warszawa,Wólka Wêglowa,mazowieckie,52.2975,20.88027778,600,,,asfaltowa,drewniane,,,,480000
Warszawa,Falenica,mazowieckie,52.16083333,21.21166667,2400,,,asfaltowa,,,,,2500000
Warszawa,Elsnerów,mazowieckie,52.2713587963265,21.0620146854835,401,miejska,,asfaltowa,brak,,,,2500000
Emów,otwocki,mazowieckie,52.1607,21.2811,4442,,,utwardzana,,,,,525000
Ruda,wo³omiñski,mazowieckie,52.468891,21.134629,3300,,,asfaltowa,,,,,210000
Œwiercze,pu³tuski,mazowieckie,52.6797,20.7431,748,szambo,,utwardzana,brak,w³asne ujêcie/studnia,,brak,24000
Luborzyca,krakowski,ma³opolskie,50.136345,20.115809,1050,,,asfaltowa,,,,,165000
Warszawa,Powsin,mazowieckie,52.1292066232962,21.1037140908051,8210,,,asfaltowa,brak,,,,8210000
Rogierówko,poznañski,wielkopolskie,52.479733,16.750515,8961,,,utwardzana,,,,,1075000
Raszyn,pruszkowski,mazowieckie,52.1619849960533,20.9325866338073,597,,,,,,,,322380
Wi¹zowna,otwocki,mazowieckie,52.1764,21.2175,1480,,,utwardzana,siatka,,,,257000
Dobrzyñ,nowodworski,mazowieckie,52.372498,20.716108,800,,,,,,,,119600
Kopaszyn,trzebnicki,dolnoœl¹skie,51.345356,16.953449,6164,,,,brak,,,,215700
Grudunki,makowski,mazowieckie,52.8115,21.3628,2324,,,asfaltowa,brak,,,,69900
Warszawa,Zawady,mazowieckie,52.1494098112774,21.1156675584188,11370,,,asfaltowa,brak,,,,5750000
Kraków,Tyniec,ma³opolskie,50.009934691621,19.8116715832344,4172,,,asfaltowa,brak,,,,550000
Stare Skoszewy,³ódzki wschodni,³ódzkie,51.85265,19.627956,4601,brak,,,brak,,,,345075
Duchnów,otwocki,mazowieckie,52.1908542075628,21.3480187559138,3476,,,asfaltowa,,,,,650000
Jab³onna,legionowski,mazowieckie,52.374788,20.926022,940,,,asfaltowa,brak,,,,235000
Rz¹ska,krakowski,ma³opolskie,50.1025830492773,19.8392030478333,12000,,,asfaltowa,,,,,3900000
Janów,warszawski zachodni,mazowieckie,52.264857,20.851808,1046,miejska,,utwardzana,brak,,,,815000
Krêpice,œredzki,dolnoœl¹skie,51.1639,16.8117,1088,,,,brak,,,,107500
Wi¹zowna,otwocki,mazowieckie,52.1676,21.3251,,,,,,,,,795000
Kraków,Dêbniki,ma³opolskie,50.04888889,19.91416667,9000,miejska,,,,,,,10350000
Soblówka,¿ywiecki,œl¹skie,49.431944,19.138917,1554,brak,,,brak,,,brak,108780
£osia Wólka,nowodworski,mazowieckie,52.363987,20.698206,1000,,,,,,,,120000
Przypki,piaseczyñski,mazowieckie,52.0087,20.8112,1401,,,utwardzana,,,,,131090
Przypki,piaseczyñski,mazowieckie,52.007244,20.813905,1440,,,utwardzana,,,,,134600
Katowice,Podlesie,œl¹skie,50.17833333,18.96555556,2401,miejska,,,,,,,697000
